々	(kép)
奴	NÔ
奸	GIAN
好	HẢO
妁	ƯỚC
如	NHƯ
妃	PHI
妄	VỌNG/VÕNG
妊	NHÂM
妍	NGHIÊN
妓	KỸ
妖	YÊU
妙	DIỆU
妝	TRANG
妣	TỶ
妥	THỎA
妨	PHƯƠNG
妬	ĐỐ
妲	ĐÁT
妹	MUỘI
妻	THÊ
妾	THIẾP
姆	MẪU
姉	TỶ/TỈ
始	THỦY
姐	THƯ
姑	CÔ
姓	TÍNH/TÁNH
委	ỦY
姙	NHÂM
姚	DIÊU
姥	MỤ
姦	GIAN
姨	DI
姪	ĐIỆT
姫	CƠ
姻	NHÂN
姿	TƯ
威	UY
娃	OA
娉	PHINH
娑	SA
娘	NƯƠNG
娚	NAM
娜	NA
娟	QUYÊN
娠	THẦN
娥	NGA
娩	MIỄN
娯	NGU
娵	THÚ
娶	THÚ
娼	XƯỚNG
婀	A
婁	LÂU
婆	BÀ
婉	UYỂN
婚	HÔN
婢	TỲ/TÌ
婦	PHỤ
婪	LAM
婬	DÂM
婿	TẾ
媒	MÔI
媚	MỊ
媛	VIỆN
媼	ẨU
媽	MÁ
媾	CẤU
嫁	GIÁ
嫂	TẨU
嫉	TẬT
嫋	NHƯỢC
嫌	HIỀM
嫖	PHIÊU
嫗	ẨU
嫡	ĐÍCH
嫣	YÊN
嫦	THƯỜNG
嫩	NỘN
嫺	NHÀN
嫻	NHÀN
嬉	HI
嬋	THUYỀN/THIỀN
嬌	KIỀU
嬖	BẾ
嬢	NƯƠNG
嬪	TẦN
嬬	NHU
嬰	ANH
嬾	LÃN
孀	SƯƠNG
孃	NƯƠNG
孅	THIÊM
子	TỬ/TÝ
孑	QUYẾT
孔	KHỔNG
孕	DỰNG
字	TỰ
存	TỒN
孚	PHU
孛	BỘT
孜	TƯ
孝	HIẾU
孟	MẠNH
季	TIẾT
孤	CÔ
孥	NOA
学	HỌC
孩	HÀI
孫	TÔN
孰	THỤC
孱	SÀN
孳	TỪ
孵	PHU
學	HỌC
孺	NHỤ
宀	MIÊN
它	THA
宅	TRẠCH
宇	VŨ
守	THỦ
安	AN
宋	TỐNG
完	HOÀN
宍	NHỤC
宏	HOÀNH
宕	ĐÃNG
宗	TÔN
官	QUAN
宙	TRỤ
定	ĐỊNH
宛	UYỂN
宜	NGHI
宝	BẢO
実	THỰC
客	KHÁCH
宣	TUYÊN
室	THẤT
宥	HỰU
宦	HOẠN
宮	CUNG
宰	TỂ
害	HẠI
宴	YẾN
宵	TIÊU
家	GIA
宸	THẦN
容	DUNG/DONG
宿	TÚC/TÚ
寂	TỊCH
寃	OAN
寄	KỲ
寅	DẦN
密	MẬT
寇	KHẤU
寉	HẠC
富	PHÚ
寐	MỊ
寒	HÀN
寓	NGỤ
寔	THỰC
寛	KHOAN
寝	TẨM
寞	MẠC
察	SÁT
寡	QUẢ
寢	TẨM
寤	NGỘ
寥	LIÊU
實	THỰC
寧	NINH
寨	TRẠI
審	THẨM
寫	TẢ
寮	LIÊU
寰	HOÀN
寳	BẢO
寵	SỦNG
寶	BẢO
寸	THỐN
寺	TỰ
対	ĐỐI
寿	THỌ
封	PHONG
専	CHUYÊN
射	XẠ
尅	KHẮC
将	TƯỚNG/TƯƠNG
將	TƯƠNG/TƯỚNG
專	CHUYÊN
尉	UÝ
尊	TÔN
尋	TẦM
對	ĐỐI
導	ĐẠO
小	TIỂU
少	THIẾU/THIỂU
尓	NHĨ
尖	TIÊM
尚	THƯỢNG
尤	VƯU
尨	MANG/MÔNG
尭	NGHIÊU
就	TỰU
尹	DOÃN/DUẪN
尺	XÍCH
尻	KHÀO
尼	NI
尽	TẬN
尾	VĨ
尿	NIỆU
局	CỤC
居	CƯ
屈	KHUẤT/QUẬT
届	GIỚI
屋	ỐC
屍	THI
屎	THỈ
屏	BÌNH/BÍNH
屐	KỊCH
屑	TIẾT
展	TRIỂN
属	THUỘC
屠	ĐỒ
屡	LŨ
層	TẦNG/TẰNG
履	LÝ
屬	THUỘC
屮	TRIỆT
屯	ĐỒN/TRUÂN
山	SƠN/SAN
屹	NGẬT
岌	NGẬP
岐	KỲ
岑	SẦM
岔	XÁ
岡	CƯƠNG
岨	TỔ
岩	NHAM
岫	DU
岬	GIÁP
岱	THẢI
岳	NHẠC
岶	BÁCH
岷	MÂN
岸	NGẠN
峙	TRĨ
峠	(đèo)
峡	HẠP
峨	NGA
峩	NGA
峪	DỤ
峭	TIẾU/TIỄU
峯	PHONG
峰	PHONG
島	ĐẢO
峻	TUẤN
峽	HIỆP
崇	SÙNG
崋	HOA
崎	KỲ
崑	CÔN
崔	THÔI
崕	NHAI
崖	NHAI
崗	CƯƠNG
崘	LUÂN
崙	LUÂN
崚	LĂNG
崛	QUẬT
崟	KIM
崢	TRANH
崩	BĂNG
嵋	MI
嵌	KHẢM
嵎	NGUNG/NGU
嵐	LAM
嵒	NHAM
嵜	KỲ
嵩	TUNG
嵬	NGÔI/NGUY
嵯	SAI
嵳	SAI
嶂	CHƯỚNG
嶄	CHẨM
嶇	KHU
嶋	ĐẢO
嶌	ĐẢO
嶐	LONG
嶝	ĐĂNG
嶢	NGHIÊU
嶬	NGA
嶮	HIỂM
嶷	NGHI
嶺	LĨNH
嶼	DỮ/DỰ
嶽	NHẠC
巉	SÀM
巌	NHAM
巍	NGUY
巒	LOAN
巓	ĐIÊN
巖	NHAM
巛	XUYÊN
川	XUYÊN
州	CHÂU
巡	TUẦN
巣	SÀO
工	CÔNG
左	TẢ
巧	XẢO
巨	CỰ
巫	VU
差	SAI
己	KỶ
已	DĨ
巳	TỴ
巴	BA
巵	CHI
巷	HẠNG
巻	QUYỂN/QUYỀN
巽	TỐN
巾	CÂN
市	THỊ
布	BỐ
帆	PHÀM
帋	THỊ
希	HY
帑	NÔ
帖	THIẾP
帙	TRẬT
帚	TRỬU
帝	ĐẾ
帥	SÚY/SOÁI/SUẤT
師	SƯ
席	TỊCH
帯	ĐỚI/ĐÁI
帰	QUY/QUI
帳	TRƯƠNG/TRƯỚNG
帶	ĐỚI/ĐÁI
帷	DUY
常	THƯỜNG
帽	MẠO
幀	TRINH
幃	VI
幄	ỐC
幅	PHÚC
幇	BANG
幌	HOẢNG
幔	MẠN
幕	MẠC
幗	QUẮC
幟	XÍ
幡	PHIÊN
幢	TRÀNG
幣	TỆ
幤	TỆ
干	CAN
平	BÌNH
年	NIÊN
并	TÍNH
幸	HẠNH
幹	CÁN
幺	YÊU
幻	ẢO
幼	ẤU
幽	U
幾	KỶ/KY
广	NGHIỄM
庁	SẢNH
広	QUẢNG
庄	TRANG
庇	TÝ
床	SÀNG
序	TỰ
底	ĐỂ
庖	BÀO
店	ĐIẾM
庚	CANH
府	PHỦ
庠	TƯỜNG
度	ĐỘ
座	TỌA
庫	KHỐ
庭	ĐÌNH
庵	AM
庶	THỨ
康	KHANG
庸	DUNG
廁	SÍ
廂	SƯƠNG
廃	PHẾ
廈	HẠ
廉	LIÊM
廊	LANG
廏	CỨU
廐	CỨU
廓	KHUẾCH
廖	LIÊU
廚	THỤ
廛	TRIỀN
廝	TƯ
廟	MIẾU
廠	XƯỞNG
廡	VŨ
廢	PHẾ
廣	QUẢNG
廨	GIẢI
廩	LẪM
廬	LƯ
廰	SẢNH/THINH
廱	UNG
廳	SẢNH/THINH
廴	DẪN
延	DIÊN
廷	ĐÌNH
廸	ĐỊCH
建	KIẾN
廻	HỒI
廼	NÃI
廾	CỦNG
廿	TRẤP/NIỆM
